artist,song,popularity,key,mode
blink-182,All The Small Things,79,0,1
Bon Jovi,It's My Life,78,0,0
Sting,Desert Rose,62,0,0
Avant,Separated,55,0,1
Samantha Mumba,Gotta Tell You,43,0,0
Baha Men,Who Let The Dogs Out,65,0,1
Red Hot Chili Peppers,Otherside,78,0,1
*NSYNC,It's Gonna Be Me,60,0,0
Creed,With Arms Wide Open,64,0,1
Shaggy,It Wasn't Me,76,0,1
Train,Drops of Jupiter (Tell Me),77,0,1
Missy Elliott,Get Ur Freak On,68,0,1
Tamia,Stranger in My House,48,0,1
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],54,0,1
Madonna,Die Another Day,53,0,0
Britney Spears,Overprotected - Radio Edit,61,0,0
*NSYNC,Girlfriend,50,0,0
P!nk,Don't Let Me Get Me - Radio Edit,60,0,0
Mis-Teeq,Scandalous - U.S. Radio Edit,59,0,0
Enrique Iglesias,Not In Love - Radio Mix,37,0,0
